Epoch JD,Date UTC,Semi-major axis au,Eccentricity,Inclination degrees,Longitude of asc. node degrees,Argument of periapsis degrees,Mean Anomaly degrees,True Anomaly degrees
2458574.5,2019-04-01 00:00:00,1.3248830711373,0.25577341747519,1.0775144977521,317.09272494436,177.48387622629,272.08990976719,243.66578056061
2458575.5,2019-04-02 00:00:00,1.3248836713393,0.25577308085025,1.0775143088389,317.0927064963,177.48379048397,272.73629422744,244.22953820256
2458576.5,2019-04-03 00:00:00,1.3248842734746,0.25577274756374,1.0775141300268,317.09268861705,177.48370329124,273.38267900847,244.79618562852
2458577.5,2019-04-04 00:00:00,1.3248848773036,0.25577241772931,1.0775139609507,317.09267129933,177.48361470208,274.0290640634,245.36575886203
2458578.5,2019-04-05 00:00:00,1.3248854825907,0.25577209145465,1.0775138012544,317.09265453598,177.48352476986,274.67544934605,245.93829425855
2458579.5,2019-04-06 00:00:00,1.3248860891048,0.25577176884196,1.0775136505904,317.09263831986,177.48343354749,275.32183481109,246.51382850471
2458580.5,2019-04-07 00:00:00,1.324886696618,0.25577144998825,1.0775135086195,317.09262264386,177.48334108741,275.96822041383,247.09239861707
2458581.5,2019-04-08 00:00:00,1.3248873049059,0.25577113498573,1.0775133750102,317.09260750093,177.48324744177,276.61460611028,247.67404194074
2458582.5,2019-04-09 00:00:00,1.3248879137497,0.25577082392167,1.0775132494438,317.0925928846,177.48315266126,277.26099185762,248.2587961481
2458583.5,2019-04-10 00:00:00,1.3248885229227,0.25577051688037,1.0775131315896,317.0925787861,177.48305680046,277.90737761178,248.84669923434
2458584.5,2019-04-11 00:00:00,1.3248891322132,0.25577021394056,1.0775130211463,317.09256519932,177.48295990897,278.55376333148,249.43778951896
2458585.5,2019-04-12 00:00:00,1.3248897414068,0.25576991517776,1.0775129178103,317.09255211706,177.48286203808,279.20014897517,250.03210563994
2458586.5,2019-04-13 00:00:00,1.3248903502904,0.25576962066404,1.0775128212833,317.09253953185,177.48276323939,279.84653450175,250.62968655118
2458587.5,2019-04-14 00:00:00,1.3248909586522,0.25576933046822,1.0775127312723,317.09252743605,177.48266356459,280.49291987057,251.23057151883
2458588.5,2019-04-15 00:00:00,1.324891566282,0.25576904465598,1.0775126474902,317.09251582187,177.48256306551,281.13930504147,251.83480011722
2458589.5,2019-04-16 00:00:00,1.3248921729707,0.25576876329016,1.0775125696554,317.09250468131,177.48246179414,281.78568997479,252.44241222424
2458590.5,2019-04-17 00:00:00,1.3248927785103,0.25576848643097,1.0775124974915,317.09249400615,177.48235980282,282.43207463129,253.05344801617
2458591.5,2019-04-18 00:00:00,1.3248933826934,0.25576821413623,1.077512430727,317.09248378781,177.48225714432,283.07845897212,253.66794796207
2458592.5,2019-04-19 00:00:00,1.3248939853129,0.25576794646165,1.077512369095,317.09247401738,177.48215387202,283.72484295873,254.28595281749
2458593.5,2019-04-20 00:00:00,1.3248945861614,0.25576768346105,1.077512312333,317.09246468549,177.48205004,284.37122655287,254.90750361777
2458594.5,2019-04-21 00:00:00,1.3248951850314,0.25576742518663,1.0775122601828,317.09245578223,177.48194570326,285.01760971652,255.53264167059
